"MM33"	"MM42"	"MM23"	"MM41"	"MM32"	"MM39"	"MM9"	"MM38"	"MM6"	"MM3"	"MM14"	"MM15"	"MM13"	"MM24"	"MM4"	"MM40"	"MM19"	"MM20"	"MM28"	"MM25"	"MM17"	"MM1"	"MM35"	"MM26"	"MM16"	"MM29"	"MM10"	"MM7"	"MM21"	"MM2"	"MM5"	"MM18"	"MM8"	"MM34"	"MM22"	"MM31"	"MM27"	"MM37"	"MM30"	"MM11"	"MM36"	"MM12"	"MM45"	"MM43"	"MM44"
"203744"	11	13	1	7	8	8	1	2	4	5	0	1	0	2	3	2	0	0	6	0	1	0	0	0	4	3	0	1	0	0	1	0	1	14	0	42	0	10	0	1	1	0	19	3	1
"237992"	1	0	0	3	3	2	1	1	2	1	1	0	0	1	1	1	2	1	0	0	0	0	2	0	1	0	0	0	0	1	1	0	2	0	0	2	0	1	0	0	1	0	0	0	0
"226082"	0	4	0	3	2	4	0	2	2	4	1	0	0	0	0	1	0	0	2	1	0	2	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	2	0	1
"4380399"	22	2	7	4	30	1	1	1	4	3	0	11	2	5	1	1	3	0	11	0	10	1	3	2	2	4	1	2	1	4	0	5	6	30	2	3	0	2	3	1	0	2	0	1	2
"225930"	9	0	0	0	38	0	0	0	0	0	0	9	5	3	0	0	0	0	2	0	3	0	1	0	1	0	0	0	0	0	0	2	15	26	2	0	0	0	2	1	0	1	0	0	0
"218246"	40	68	21	156	29	58	30	18	57	41	33	7	6	2	39	47	10	14	12	8	11	33	47	1	11	8	10	28	2	48	10	5	16	22	2	98	3	75	4	16	31	3	29	29	21
"361100"	64	44	64	153	91	41	46	22	54	26	22	25	13	20	25	23	10	25	52	13	30	37	58	7	54	9	10	24	11	47	16	16	30	57	7	60	7	49	11	22	16	21	28	21	8
"575467"	14	25	25	59	17	10	28	2	27	7	6	12	8	1	5	11	1	5	23	1	4	8	4	1	11	0	4	8	1	7	3	3	5	16	0	13	2	8	1	19	3	14	7	2	1
"206124"	24	8	18	64	25	11	6	8	7	7	7	12	3	7	8	5	3	8	24	3	26	7	21	2	14	1	6	3	0	11	0	2	10	8	2	8	2	11	2	10	4	4	8	8	4
"723142"	6	9	2	11	2	13	2	4	6	1	0	0	0	0	0	4	0	1	1	1	0	0	11	0	1	0	1	3	0	1	0	0	2	2	0	33	0	15	0	0	13	1	9	0	1
"534686"	23	55	11	118	7	60	7	17	20	16	21	5	4	3	9	38	1	4	12	2	9	15	38	4	8	0	2	31	2	11	2	5	2	13	3	33	0	79	1	8	53	3	59	19	10
